ui_name;ingredient;alias;shop;generic_name;original_name;package_weight;unit;price_per_100;price_package;match_type;fuzzy_score;dedup;kcal
jagody;mieszanka owoców leśnych;jagody leśne;auchan;jagody leśne;Jagody leśne  Hortex 280 g;280.0;g;5.9571;16.68;repair;100.0;shop_sku;57.0
jarmuż;jarmuż;;biedronka;jarmuż;Vital Fresh Jarmuż 200 g;200.0;g;3.495;6.99;auto;100.0;;49.0
jeżyna;jeżyna;;auchan;jeżyna mrożona;Jeżyna mrożona Auchan 350 g;350.0;g;3.2829;11.49;auto;100.0;;64.0
jeżyny;jeżyny;;auchan;jeżyny;Jeżyny Owoce  Auchan 125 g;125.0;g;12.792;15.99;auto;100.0;;43.0
jogurt grecki;jogurt grecki;;auchan;jogurt;Jogurt naturalny     Auchan 400 g;400.0;g;0.6225;2.49;auto;100.0;;61.0
jogurt grecki;jogurt naturalny;;auchan;jogurt;Jogurt naturalny     Auchan 400 g;400.0;g;0.6225;2.49;auto;100.0;shop_sku;61.0
jogurt grecki;jogurt roslinny;;auchan;jogurt;Jogurt naturalny     Auchan 400 g;400.0;g;0.6225;2.49;auto;100.0;shop_sku;61.0
jogurt grecki;jogurt roślinny;;auchan;jogurt;Jogurt naturalny     Auchan 400 g;400.0;g;0.6225;2.49;auto;100.0;shop_sku;61.0
kakao;kakao;;biedronka;kakao ciemne;Bakello Kakao extra ciemne 200 g;200.0;g;5.495;10.99;auto;100.0;;228.0
kalafior;kalafior;;biedronka;kalafior;Kalafior;1500.0;g;0.9987;14.98;auto;100.0;;25.0
kalafior;kalafior ryżowy;;biedronka;kalafior;Kalafior;1500.0;g;0.9987;14.98;auto;100.0;shop_sku;25.0
kapusta;kapusta;;auchan;kapusta;Kapusta Kimchi Dongwon 160 g;160.0;g;7.4938;11.99;auto;100.0;;25.0
kapusta;kapusta fioletowa;;auchan;kapusta;Kapusta Kimchi Dongwon 160 g;160.0;g;7.4938;11.99;auto;100.0;shop_sku;25.0
kapusta biała;kapusta biała;;biedronka;kapusta biała;Kapusta biała;3000.0;g;0.399;11.97;auto;100.0;;25.0
kapusta i marchew;kapusta i marchew;;biedronka;marchew;Marchew;100.0;g;0.4;0.4;auto;100.0;;41.0
kapusta i marchew;marchew;;biedronka;marchew;Marchew;100.0;g;0.4;0.4;auto;100.0;shop_sku;41.0
kapusta pekińska;kapusta pekińska;;auchan;kapusta pekińska;Kapusta Pekińska Warzywa Auchan na wagę ok. 1 kg;100.0;g;0.449;4.49;auto;100.0;;12.0
karkówka wołowa;karkówka wołowa;;auchan;karkówka;Karkówka wieprzowa bez kości rasy Puławskiej MAP Pewni Dobrego na wagę ok. 600 g;100.0;g;3.599;21.59;auto;100.0;;250.0
