skladnik_z_przepisu;produkt_sklepowy;oryginalna_nazwa;pkg;jednostka;cena_per_100;cena_pkg;sklep;fuzzy_score;kcal;bialko_g;tluszcz_g;wegle_g
mąka owsiana;mąka owsiana;Mąka owsiana   Młyn Niedźwiady 1 kg;1000.0;g;0.72;7.19;auchan;100.0;404.0;14.7;6.9;65.7
mąka bezglutenowa;mąka ryżowa bezglutenowa;Mąka ryżowa bezglutenowa SemCo 500 g;500.0;g;1.36;6.79;auchan;90.3;366.0;5.9;1.4;80.1
nasiona chia;nasiona chia;Nasiona chia KRESTO 100 g;100.0;g;5.99;5.99;auchan;100.0;486.0;16.5;30.7;42.1
nasiona konopi;nasiona konopii;BIO Nasiona konopii łuskane NaturaVena 200 g;200.0;g;11.49;22.99;auchan;100.0;553.0;31.6;48.8;8.7
nasiona sezamu;nasiona sezamu białego;Nasiona sezamu białego Thai Pride 100 g;100.0;g;6.59;6.59;auchan;100.0;573.0;17.7;49.7;23.5
natka pietruszki;natka pietruszki;Natka pietruszki  Auchan 8 g;8.0;g;16.12;1.29;auchan;100.0;36.0;3.0;0.8;6.3
nerkowce;nerkowce;Nerkowce KRESTO 200 g;200.0;g;11.49;22.99;auchan;100.0;553.0;18.2;43.8;30.2
ocet balsamiczny;ocet balsamiczny;Ocet balsamiczny Gino Toschi 250 ml;250.0;ml;4.56;11.39;auchan;100.0;88.0;0.5;0.0;17.0
ocet jabłkowy;ocet jabłkowy;Ocet jabłkowy 6% Auchan 750 ml;750.0;ml;0.8;5.99;auchan;100.0;21.0;0.0;0.0;0.9
ocet ryzowy;ocet ryżowy;Ocet ryżowy 3%  Diamond 610 ml;610.0;ml;3.18;19.39;auchan;90.9;18.0;0.0;0.0;0.0
ocet spirytusowy;ocet spirytusowy;Ocet spirytusowy 10% kwasowości Auchan 500 ml;500.0;ml;0.36;1.79;auchan;100.0;18.0;0.0;0.0;0.0
ocet winny biały;ocet winny biały;Ocet winny biały Monini 500 ml;500.0;ml;3.4;16.99;auchan;100.0;18.0;0.0;0.0;0.0
ocet winny czerwony;ocet winny z czerwonego wina;Ocet winny z czerwonego wina. 6% kwasowości Kamis 250 ml;250.0;ml;3.67;9.18;auchan;89.5;19.0;0.0;0.0;0.3
odżywka białkowa;odżywka białkowa;Odżywka białkowa Mass Up wanilia ACTIVLAB 1,2 kg;1200.0;g;4.17;49.98;auchan;100.0;400.0;80.0;5.0;8.0
ogórek;ogórek długi;BIO Ogórek długi Warzywa Auchan sztuka;100.0;g;5.79;5.79;auchan;100.0;15.0;0.7;0.1;3.6
ogórek kiszony;ogórki kiszone;Ogórki kiszone Auchan 500 g;500.0;g;1.46;7.29;auchan;85.7;11.0;0.3;0.2;2.3
olej;olej rzepakowy;Olej rzepakowy Auchan 1 l;1000.0;ml;0.46;4.59;auchan;100.0;884.0;0.0;100.0;0.0
olej sezamowy;olej sezamowy nierafinowany;Olej sezamowy nierafinowany Auchan Collection  250 ml;250.0;ml;6.0;14.99;auchan;100.0;884.0;0.0;100.0;0.0
olej z awokado;olej z awokado;Olej z awokado tłoczony na zimno Auchan Collection  250 ml;250.0;ml;6.8;16.99;auchan;100.0;884.0;0.0;100.0;0.0
olej w sprayu z awokado;olej z awokado spray;Olej z awokado spray Fratelli Mantova 200 ml;200.0;ml;14.99;29.99;auchan;93.0;884.0;0.0;100.0;0.0
olej z pestek dyni;olej z pestek dyni;Olej z pestek dyni z witaminą D tłoczony na zimno Oleofarm 250 ml;250.0;ml;10.6;26.49;auchan;100.0;884.0;0.0;100.0;0.0
olej z pestek winogron;olej z pestek winogron;Olej z pestek winogron Monini 500 ml;500.0;ml;3.9;19.48;auchan;100.0;884.0;0.0;100.0;0.0
oliwa z oliwek;oliwa z oliwek;Oliwa z oliwek Drago Chef Coppini 1 l;1000.0;ml;3.4;33.99;auchan;100.0;884.0;0.0;100.0;0.0
oliwki czarne;oliwki czarne drylowane;Oliwki czarne drylowane Figaro 340 g;160.0;g;6.8;10.88;auchan;100.0;115.0;0.8;10.7;6.3
oliwki;oliwki sycylijskie;Oliwki sycylijskie Nocellara bez pestek San Romano 150 g;150.0;g;8.65;12.98;auchan;100.0;145.0;1.0;15.0;3.0
oliwki zielone;oliwki zielone nadziewane migdałami;Oliwki zielone nadziewane migdałami Athina 170 g;190.0;g;6.63;12.59;auchan;100.0;145.0;1.5;14.0;3.0
oregano;oregano;BIO Oregano  Pewni Dobrego sztuka;100.0;g;7.99;7.99;auchan;100.0;265.0;9.0;4.3;68.9
oregano suszone;oregano suszone;Oregano suszone Auchan 10 g;10.0;g;12.9;1.29;auchan;100.0;265.0;9.0;4.3;68.9
orzech laskowy;orzechy laskowe;Orzechy laskowe łuskane Auchan 100g;100.0;g;7.99;7.99;auchan;89.7;628.0;15.0;60.8;16.7
orzechy makadamia;orzechy makadamia;BIO Orzechy makadamia  BioLife 100 g;100.0;g;20.59;20.59;auchan;100.0;718.0;7.9;75.8;13.8
